Date,Open,High,Low,Close,Volume
13-Jun-16,45.59,45.88,43.64,44.06,7127803
10-Jun-16,46.09,46.68,45.63,46.08,4206276
9-Jun-16,45.59,46.91,45.44,46.70,4648846
8-Jun-16,45.94,46.53,45.29,45.69,4875326
7-Jun-16,44.50,46.46,44.01,45.81,5863012
6-Jun-16,44.20,44.54,43.53,44.53,5251171
3-Jun-16,45.01,45.16,43.60,44.30,5640245
2-Jun-16,44.92,45.59,44.86,45.17,3355673
1-Jun-16,45.25,45.46,44.70,45.25,3982287
31-May-16,45.13,45.30,44.30,45.09,6080864
27-May-16,44.56,45.46,44.53,45.18,3618272
26-May-16,45.20,45.32,44.14,44.50,4891029
25-May-16,45.12,45.94,45.07,45.13,3649845
24-May-16,44.46,45.08,44.39,44.99,3703013
23-May-16,44.54,45.00,44.15,44.20,3744945
20-May-16,44.39,45.29,44.22,44.49,3281677
19-May-16,44.73,45.29,43.65,44.01,5553508
18-May-16,44.91,46.28,44.83,45.27,4478084
17-May-16,44.35,46.08,44.32,45.05,5917884
16-May-16,44.32,44.87,43.51,44.59,6078376
13-May-16,43.70,44.94,43.62,43.84,5761334
12-May-16,46.03,46.03,43.33,43.78,7909539
11-May-16,46.73,47.40,45.79,45.80,5065895
10-May-16,46.07,47.12,45.79,47.00,4796766
9-May-16,45.88,46.81,45.68,45.71,4615187
6-May-16,44.80,45.73,44.01,45.70,9245833
5-May-16,45.60,46.07,44.96,44.99,6034603
4-May-16,46.71,46.76,45.15,45.55,6733985
3-May-16,47.00,47.54,46.15,47.13,6714961
2-May-16,46.61,46.81,45.81,46.66,6624617
29-Apr-16,47.89,47.93,45.58,45.81,10233737
28-Apr-16,48.84,49.21,47.90,48.06,5653577
27-Apr-16,49.05,49.70,48.70,48.94,5207990
26-Apr-16,49.75,50.06,48.05,49.14,7541490
25-Apr-16,51.06,51.45,49.30,49.37,6851763
22-Apr-16,51.20,51.59,50.20,50.74,11258204
21-Apr-16,55.32,56.00,51.33,52.76,25276065
20-Apr-16,57.96,58.90,57.96,58.60,4079148
19-Apr-16,57.12,58.33,57.12,58.05,3551705
18-Apr-16,57.78,57.78,56.35,56.98,2406939
15-Apr-16,56.97,57.11,56.08,56.90,2845870
14-Apr-16,55.86,57.84,55.80,56.73,3794845
13-Apr-16,54.48,55.68,54.34,55.58,3789974
12-Apr-16,53.89,54.78,53.82,54.07,3392510
11-Apr-16,53.38,55.20,53.28,53.71,4582405
8-Apr-16,53.65,53.81,52.95,53.08,3545447
7-Apr-16,54.55,54.66,52.93,53.16,6723454
6-Apr-16,55.60,55.65,54.59,55.14,3224221
5-Apr-16,55.49,55.85,55.10,55.58,2727398
4-Apr-16,56.59,57.60,55.70,55.85,4611316
